state_mode,model,case,phase,batch,tokens,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_D_prime,speedup_vs_D,bank_stall_cycles,matrix_sram_service_cycles,physical_hbm_read_bytes,physical_hbm_write_bytes
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,C_multirow_original_fixed,512232110,512232.11,1.1938667999552,0.9801326941413337,0.9867580031247943,0.9801370046871916,10174464,13565952,532633826816,7293091840
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,D_prime_best_global_fixed,505449134,505449.134,1.2098881348563157,0.9932857813542124,1.0,0.9932901497463046,3391488,6782976,532633826816,7293091840
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,D_compiler_per_tile_affine,502057646,502057.646,1.2180611427238377,0.9999956020986482,1.0067551764762885,1.0,0,3391488,532633826816,7293091840
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,E_affine_plus_matrix_overlap,497606318,497606.318,1.2289572858679016,1.0089410440323228,1.0157610860559854,1.0089454812750187,0,3391488,532633826816,7293091840
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,A_original_fixed,420044880,420044.88,1.0,0.9348394200162611,0.936859261324647,0.9348407341615496,0,0,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,B_arlo_static,392674512,392674.512,1.069702430801009,1.0,1.0021606291574128,1.0000014057444095,0,0,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,C_multirow_original_fixed,395218680,395218.68,1.0628163628298135,0.9935626322116151,0.9957093526044872,0.9935640289067308,2543616,3391488,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,D_prime_best_global_fixed,393522936,393522.936,1.0673961834844614,0.9978440290961846,1.0,0.9978454318098501,847872,1695744,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,D_compiler_per_tile_affine,392675064,392675.064,1.069700927074911,0.9999985942575667,1.0021592203776912,1.0,0,847872,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t4,decode,1,4,E_affine_plus_matrix_overlap,391562232,391562.232,1.0727410502655426,1.0028406212578744,1.0050073879444021,1.0028420309954715,0,847872,549917885440,1823272960
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,A_original_fixed,3360384960,3360384.96,1.0,0.9348399226260077,0.9368597483545457,0.9348412367611596,0,0,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,B_arlo_static,3141422016,3141422.016,1.069701855683436,1.0,1.0021606113299741,1.0000014057328106,0,0,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,C_multirow_original_fixed,3161775360,3161775.36,1.062815847865928,0.993562684984679,0.9957093877788965,0.9935640816683448,20348928,27131904,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,D_prime_best_global_fixed,3148209408,3148209.408,1.067395628594729,0.9978440468468354,1.0,0.9978454495489519,6782976,13565952,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,D_compiler_per_tile_affine,3141426432,3141426.432,1.0697003519705535,0.9999985942691654,1.0021592025619017,1.0,0,6782976,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t32,decode,1,32,E_affine_plus_matrix_overlap,3132523776,3132523.776,1.0727404483713008,1.0028405977532155,1.0050073465108793,1.0028420074791478,0,6782976,4399355469824,14586183680
official_fp32_streamed,kimi_k3,decode_b1_t128,decode,1,128,A_original_fixed,13441897176,13441897.176,1.0,0.9348416548250496,0.9368614268590504,0.9348429689252669,0,0,17597591748608,58344734720
