bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,56989267972,prefill_s128,0,6782976,6782976,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""banked_output_sram"": 6782976, ""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""banked_output_sram"": 0, ""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",0.9998809780114506,4323,128,D_affine_layout
0,1,56982484996,prefill_s128,0,0,0,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4254,128,E_stream_addressing
0,1,56989267972,prefill_s128,0,6782976,6782976,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""banked_output_sram"": 6782976, ""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""banked_output_sram"": 0, ""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",0.9998809780114506,4323,128,F_affine_plus_stream
0,1,56982484996,prefill_s128,0,6782976,6782976,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""banked_output_sram"": 6782976, ""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""banked_output_sram"": 0, ""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4323,128,G_affine_stream_overlap
0,1,56982484996,prefill_s128,0,0,0,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4254,128,H_packet_row_major
0,1,56989267972,prefill_s128,0,6782976,6782976,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""banked_output_sram"": 6782976, ""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""banked_output_sram"": 0, ""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",0.9998809780114506,4323,128,I_packet_affine
0,1,56982484996,prefill_s128,0,6782976,6782976,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""banked_output_sram"": 6782976, ""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""banked_output_sram"": 0, ""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4323,128,J_packet_affine_overlap
0,1,23314405440,decode_32,0,0,0,4399355468800,14586183680,kimi_k3,0,0,0,0,0,0,decode,4399355469824,14586183680,"{""hbm"": 8620980672, ""matrix"": 13670142464, ""vector"": 1023282304}","{""hbm"": 3162020352, ""matrix"": 0, ""vector"": 0}",0.9808698888269827,134688,32,A_row_gather_static
0,1,22868398272,decode_32,0,0,0,4399355468800,14586183680,kimi_k3,0,0,0,0,0,0,decode,4399355469824,14586183680,"{""hbm"": 8620980672, ""matrix"": 13670142464, ""vector"": 577275136}","{""hbm"": 3162020352, ""matrix"": 0, ""vector"": 0}",1.0,134688,32,B_arlo_stride_postincrement
0,1,22868398272,decode_32,0,0,0,4399355468800,14586183680,kimi_k3,0,0,0,0,0,0,decode,4399355469824,14586183680,"{""hbm"": 8620980672, ""matrix"": 13670142464, ""vector"": 577275136}","{""hbm"": 3162020352, ""matrix"": 0, ""vector"": 0}",1.0,134688,32,C_consumer_major
